nombre,categoria,precio,cantidad,descripcion,oferta,destacado
"PAPA DELTA ORIGINAL 1,40€",SNACKS,1.4,12.0,,,no
"PAPADELTA 0,50€",SNACKS,0.5,23.0,,,no
PARTY BURGER MINI,CARAMELOS Y GOLOSINAS,0.3,67.0,,,no
PARTY MIX,CARAMELOS Y GOLOSINAS,4.5,5.0,,,no
PATATAS LAYS CAM,SNACKS,1.5,10.0,,,no
PATATAS LAYS CAM PEQUEÑAS,SNACKS,0.8,1.0,,,no
PATATAS LAYS SAL,SNACKS,1.5,8.0,,,no
PEQUIBOM PATRIARCA PACK 3 UDS,DULCES Y BOLLERIA,0.8,69.0,,,no
PETA ZETA COL,CARAMELOS Y GOLOSINAS,0.5,39.0,,,no
PETA ZETA FRE,CARAMELOS Y GOLOSINAS,0.5,28.0,,,no
PINCHOS CUPCAKE,CARAMELOS Y GOLOSINAS,1.5,14.0,,,no
PINCHOS FAST FOOD,CARAMELOS Y GOLOSINAS,1.5,18.0,,,no
PIONONOS ABIARJO,DULCES Y BOLLERIA,0.9,30.0,,,no
"PIPA TIJUANA 0,50€",SNACKS,0.5,31.0,,,no
"PIPA TIJUANA 1,30€",SNACKS,1.3,13.0,,,no
"PIPA TIJUANA MAXI 1,90€",SNACKS,1.9,6.0,,,no
PIPA TIJUANATICO PELAO MIX,SNACKS,0.5,12.0,,,no
PIPAS AGUASAL 1€,SNACKS,1.0,14.0,,,no
"PIPAS CON SAL 0,50€",SNACKS,0.5,36.0,,,no
PIPAS CON SAL 1€,SNACKS,1.0,14.0,,,no
PIPAS GRANAINAS,SNACKS,1.5,9.0,,,no
"PIPONAZO 1,30€",SNACKS,1.3,12.0,,,no
PIPONAZO GOURMET,SNACKS,1.5,12.0,,,no
PIPONAZO MAXI,SNACKS,1.9,8.0,,,no
PIRULETA CORA,CARAMELOS Y GOLOSINAS,0.35,41.0,,,no
PIRULETA CORAZON GIGANTE,CARAMELOS Y GOLOSINAS,15.0,2.0,,,no
PIRULETA SWEET,CARAMELOS Y GOLOSINAS,0.35,73.0,,,no
PIRULETA ZER,CARAMELOS Y GOLOSINAS,0.35,64.0,,,no
PIÑATAS,All,35.0,3.0,,,no
POMPAINTER AZ METAL,GOLOSINAS A GRANEL,0.25,68.0,,,no
POWERADE BLOOD,BEBIDAS,1.5,12.0,,,no
POWERADE ICE STORM,BEBIDAS,1.5,11.0,,,no
PRINCIPE 300GR,DULCES Y BOLLERIA,1.9,7.0,,,no
PRINGLES CEBOLLA,SNACKS,2.5,4.0,,,no
PRINGLES CEBOLLA 70GRS,SNACKS,1.4,16.0,,,no
PRINGLES ORIGINAL,SNACKS,2.5,15.0,,,no
PRINGLES ORIGINAL 70 GRS.,SNACKS,1.4,11.0,,,no
PRINGLES PAPRIKA 70 GRS.,SNACKS,1.4,8.0,,,no
PUSH POP,CARAMELOS Y GOLOSINAS,2.2,16.0,,,no
Qe! TIERNA TRIPLECHOCO,DULCES Y BOLLERIA,0.7,18.0,,,no
Qè! CANUTO SABOR CHOCO,DULCES Y BOLLERIA,1.35,2.0,,,no
Qè! CAÑON BLACK 6 SUR,DULCES Y BOLLERIA,1.4,7.0,,,no
Qè! GOFRE STD,DULCES Y BOLLERIA,1.4,3.0,,,no
Qé! PALMERA BOLLO 120G,DULCES Y BOLLERIA,1.65,2.0,,,no
RAMOS DE DULCES GRANDE,All,25.0,0.0,,,no
RED BULL LATA,BEBIDAS,1.5,6.0,,,no
RUFLES JAMON,SNACKS,1.5,10.0,,,no
RUFLES YORK QUESO,SNACKS,1.5,8.0,,,no
SMINT TIN CEREZA,CARAMELOS Y GOLOSINAS,2.2,11.0,,,no
SMINT TIN FRESA,CARAMELOS Y GOLOSINAS,2.2,12.0,,,no
SMINT TIN LIMON,CARAMELOS Y GOLOSINAS,2.2,10.0,,,no
SMINT TIN MENTA,CARAMELOS Y GOLOSINAS,2.2,10.0,,,no
SNAKE JELLY 65G,CARAMELOS Y GOLOSINAS,1.5,9.0,,,no
SNICKERS 50G,CARAMELOS Y GOLOSINAS,0.95,12.0,,,no
SOBRES ADRENALYN LIGA 24-25,All,1.0,37.0,,,no
SOMBRILLA NAVIDAD,CARAMELOS Y GOLOSINAS,1.3,20.0,,,no
SOUR POTTY,CARAMELOS Y GOLOSINAS,1.3,23.0,,,no
SPACE JUICE BAND BOTELLAS,CARAMELOS Y GOLOSINAS,0.35,29.0,,,no
SPRITE 2L,BEBIDAS,2.5,6.0,,,no
STICKS SR,SNACKS,1.4,12.0,,,no
SWEET LADYBIRD,CARAMELOS Y GOLOSINAS,1.5,12.0,,,no
TAKIS DRAGON CHILI,SNACKS,1.5,4.0,,,no
TAKIS FUEGO 90G,SNACKS,1.5,4.0,,,no
TAKIS INTENSE NACHO 90G,SNACKS,1.5,4.0,,,no
TAKIS NINJA TARIYAKI 90G,SNACKS,1.5,5.0,,,no
TAKIS QUESO 90G,SNACKS,1.5,5.0,,,no
TIBURON,CARAMELOS Y GOLOSINAS,2.3,8.0,,,no
TIGRETON 3UDS,DULCES Y BOLLERIA,2.39,2.0,,,no
TIN BOX ADRENALYN LIGA 24/25,All,11.95,1.0,,,no
TOKKE EXPRESS,SNACKS,0.8,30.0,,,no
TOSTA RICA CHOCO GUAY 168G,DULCES Y BOLLERIA,1.99,18.0,,,no
TRIDENT 60 MINUTES FRESA-LIMA BOTE,CARAMELOS Y GOLOSINAS,2.7,5.0,,,no
TRIDENT 60 MINUTES HIERBA BUENA BOTE,CARAMELOS Y GOLOSINAS,2.7,4.0,,,no
TRIDENT 60 MINUTES MENTA BOTE,CARAMELOS Y GOLOSINAS,2.7,3.0,,,no
TRIDENT 60 MINUTOS FRESA LIMA,CARAMELOS Y GOLOSINAS,1.0,11.0,,,no
TRIDENT 60 MINUTOS HIERBA BUENA,CARAMELOS Y GOLOSINAS,1.0,13.0,,,no
TRIDENT 60 MINUTOS MENTA,CARAMELOS Y GOLOSINAS,1.0,14.0,,,no
TRIDENT FRESA LAMINA,CARAMELOS Y GOLOSINAS,0.8,24.0,,,no
